run_id,group_type,metric,min_group,min_mean,max_group,max_mean,absolute_gap
mpdd_personality_severity_tfidf_logistic_phase3,personality_neuroticism_bin,Accuracy,high,0.36190476190476184,unknown,0.7209302325581395,0.35902547065337764
mpdd_personality_severity_tfidf_logistic_phase3,personality_agreeableness_bin,QWK,unknown,0.02684455558680481,low,0.38489164782479823,0.3580470922379934
mpdd_avp_shuffled_personality_early_fusion,personality_openness_bin,QWK,unknown,-0.056850369385390585,high,0.2969509804908699,0.35380134987626044
mpdd_demographics_shuffled_age_severity_logistic,personality_openness_bin,Prediction Bias,high,0.312,unknown,0.6636363636363636,0.3516363636363636
mpdd_personality_shuffled_severity_tfidf_logistic,personality_conscientiousness_bin,Prediction Bias,low,-0.0896551724137931,mid,0.2615384615384615,0.3511936339522546
mpdd_avp_shuffled_personality_early_fusion,personality_extraversion_bin,QWK,unknown,-0.06719689637873427,high,0.28242160064988686,0.34961849702862113
mpdd_demographics_shuffled_age_severity_logistic,financial_stress_bin,QWK,none,-0.10090123492088013,high_or_severe,0.24780246913580242,0.34870370405668255
mpdd_demographics_shuffled_age_severity_logistic,personality_extraversion_bin,Prediction Bias,low,0.34400000000000003,high,0.6923076923076924,0.3483076923076924
mpdd_personality_severity_tfidf_logistic_phase3,personality_neuroticism_bin,Calibration Gap,unknown,-0.24204671412620837,high,0.10273843786963084,0.3447851519958392
mpdd_personality_severity_tfidf_logistic_phase3,personality_openness_bin,Ordinal MAE,unknown,0.40909090909090906,high,0.752,0.34290909090909094
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,Accuracy,high_or_severe,0.45714285714285713,moderate,0.8,0.3428571428571429
mpdd_demographics_shuffled_age_severity_logistic,personality_conscientiousness_bin,Prediction Bias,low,0.35172413793103446,mid,0.6923076923076923,0.3405835543766578
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,Calibration Gap,moderate,-0.3507325160932627,mentioned_unclear,-0.01166819523395769,0.33906432085930505
mpdd_avp_severity_early_fusion_phase3,personality_openness_bin,Prediction Bias,high,-0.33599999999999997,mid,0.0,0.33599999999999997
mpdd_av_severity_early_fusion,personality_openness_bin,QWK,unknown,-0.056850369385390585,high,0.27878748842191736,0.3356378578073079
mpdd_avp_severity_early_fusion_phase3,personality_openness_bin,QWK,unknown,-0.056850369385390585,high,0.27878748842191736,0.3356378578073079
mpdd_avp_shuffled_personality_early_fusion,financial_stress_bin,ECE,none,0.26270247379025824,mentioned_unclear,0.5950847710236922,0.33238229723343393
mpdd_av_severity_early_fusion,financial_stress_bin,ECE,none,0.2639923055429807,mentioned_unclear,0.5950080757658489,0.3310157702228682
mpdd_avp_severity_early_fusion_phase3,financial_stress_bin,ECE,none,0.2624599362725169,mentioned_unclear,0.5931354419863649,0.330675505713848
mpdd_av_severity_early_fusion,personality_openness_bin,Prediction Bias,high,-0.33599999999999997,mid,-0.005555555555555555,0.33044444444444443
