run_id,dataset,modality,task,model,seed,task_type,metric,value,ci95_low,ci95_high,sample_count
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,2,ordinal_prediction,Brier Score,0.8034533468753914,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,3,ordinal_prediction,QWK,0.05019438777474117,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,3,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,3,ordinal_prediction,Macro-F1,0.3956357279563572,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,3,ordinal_prediction,ECE,0.3413706737887798,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,3,ordinal_prediction,Brier Score,0.8001152596217939,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,4,ordinal_prediction,QWK,0.18717770544563506,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,4,ordinal_prediction,Ordinal MAE,0.5542857142857143,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,4,ordinal_prediction,Macro-F1,0.4067905183068379,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,4,ordinal_prediction,ECE,0.342328729610919,,,175
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,4,ordinal_prediction,Brier Score,0.7718466461632851,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,0,ordinal_prediction,QWK,0.14621525724423412,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,0,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,0,ordinal_prediction,Macro-F1,0.42489825794173625,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,0,ordinal_prediction,ECE,0.30010124915136227,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,0,ordinal_prediction,Brier Score,0.7348043218280383,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,1,ordinal_prediction,QWK,0.023925837596645794,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,1,ordinal_prediction,Ordinal MAE,0.6114285714285714,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,1,ordinal_prediction,Macro-F1,0.3374103021161845,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,1,ordinal_prediction,ECE,0.37011969926217225,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,1,ordinal_prediction,Brier Score,0.8313028780995539,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,2,ordinal_prediction,QWK,0.0906116478694331,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,2,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,2,ordinal_prediction,Macro-F1,0.39501182995011824,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,2,ordinal_prediction,ECE,0.35216067892076136,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,2,ordinal_prediction,Brier Score,0.8035583618307374,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,3,ordinal_prediction,QWK,0.05019438777474117,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,3,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,3,ordinal_prediction,Macro-F1,0.3956357279563572,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,3,ordinal_prediction,ECE,0.3354670860373926,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,3,ordinal_prediction,Brier Score,0.7992333901569921,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,4,ordinal_prediction,QWK,0.19331235823516502,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,4,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,4,ordinal_prediction,Macro-F1,0.4135746041535881,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,4,ordinal_prediction,ECE,0.3396258005290324,,,175
mpdd_avp_severity_early_fusion,MPDD-AVG-2026,AVP,ordinal severity prediction,Early Fusion,4,ordinal_prediction,Brier Score,0.7714068698702327,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,0,ordinal_prediction,QWK,0.14621525724423412,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,0,ordinal_prediction,Ordinal MAE,0.5485714285714286,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,0,ordinal_prediction,Macro-F1,0.42489825794173625,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,0,ordinal_prediction,ECE,0.30010124915136227,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,0,ordinal_prediction,Brier Score,0.7348043218280383,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,1,ordinal_prediction,QWK,0.023925837596645794,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,1,ordinal_prediction,Ordinal MAE,0.6114285714285714,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,1,ordinal_prediction,Macro-F1,0.3374103021161845,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,1,ordinal_prediction,ECE,0.37011969926217225,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,1,ordinal_prediction,Brier Score,0.8313028780995539,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,2,ordinal_prediction,QWK,0.0906116478694331,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,2,ordinal_prediction,Ordinal MAE,0.5771428571428572,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,2,ordinal_prediction,Macro-F1,0.39501182995011824,,,175
mpdd_avp_severity_early_fusion_phase3,MPDD-AVG-2026,Audio+Video+Personality,ordinal severity prediction,WavLM audio + ResNet video + personality TF-IDF early fusion Logistic,2,ordinal_prediction,ECE,0.3521606789207614,,,175
