seed,train_task,eval_task,metric,within_value,cross_value,drop,drop_ci95_low,drop_ci95_high
2,interview,reading,Balanced Accuracy,0.6356821589205397,0.553223388305847,0.08245877061469264,-0.023809523809523725,0.2339121952608795
3,interview,reading,Balanced Accuracy,0.6356821589205397,0.553223388305847,0.08245877061469264,-0.02745028409090904,0.21162878787878792
4,interview,reading,Balanced Accuracy,0.6356821589205397,0.553223388305847,0.08245877061469264,-0.07458737149282509,0.2012192874692875
0,picture_description,reading,Balanced Accuracy,0.6356821589205397,0.5119940029985007,0.12368815592203897,-0.043906336305531465,0.2648508771929826
1,picture_description,reading,Balanced Accuracy,0.6356821589205397,0.5119940029985007,0.12368815592203897,-0.006212121212121249,0.2884615384615385
2,picture_description,reading,Balanced Accuracy,0.6356821589205397,0.5119940029985007,0.12368815592203897,-0.0033091931216931033,0.26377622377622384
3,picture_description,reading,Balanced Accuracy,0.6356821589205397,0.5119940029985007,0.12368815592203897,-0.0015754054790786242,0.27496536869813937
4,picture_description,reading,Balanced Accuracy,0.6356821589205397,0.5119940029985007,0.12368815592203897,-0.016694444444444494,0.2737115384615385
0,interview,affective_task,Macro-F1,0.7242424242424244,0.557528671846097,0.16671375239632735,0.020662959228558594,0.3058416683202327
1,interview,affective_task,Macro-F1,0.7242424242424244,0.557528671846097,0.16671375239632735,0.022427567866321427,0.32232243815597833
2,interview,affective_task,Macro-F1,0.7242424242424244,0.557528671846097,0.16671375239632735,0.030065584837137463,0.29693369388982244
3,interview,affective_task,Macro-F1,0.7242424242424244,0.557528671846097,0.16671375239632735,0.019005043259549617,0.3090059967811204
4,interview,affective_task,Macro-F1,0.7242424242424244,0.557528671846097,0.16671375239632735,0.033203574203574164,0.2943472258750952
0,picture_description,affective_task,Macro-F1,0.7242424242424244,0.5357142857142858,0.18852813852813854,0.04815698037295439,0.33132515082171826
1,picture_description,affective_task,Macro-F1,0.7242424242424244,0.5357142857142858,0.18852813852813854,0.033670266246789496,0.3456661530058734
2,picture_description,affective_task,Macro-F1,0.7242424242424244,0.5357142857142858,0.18852813852813854,0.02265430658323507,0.34551057195917567
3,picture_description,affective_task,Macro-F1,0.7242424242424244,0.5357142857142858,0.18852813852813854,0.03278174297453958,0.34103841729928686
4,picture_description,affective_task,Macro-F1,0.7242424242424244,0.5357142857142858,0.18852813852813854,0.0592615667007764,0.3254345700544369
0,reading,affective_task,Macro-F1,0.7242424242424244,0.6174990321331785,0.10674339210924588,-0.051874899980741115,0.27753792528478016
1,reading,affective_task,Macro-F1,0.7242424242424244,0.6174990321331785,0.10674339210924588,-0.04823152395193408,0.27127329995273547
2,reading,affective_task,Macro-F1,0.7242424242424244,0.6174990321331785,0.10674339210924588,-0.032356677927356824,0.2647733587430397
3,reading,affective_task,Macro-F1,0.7242424242424244,0.6174990321331785,0.10674339210924588,-0.08169222207078272,0.26675078571268396
4,reading,affective_task,Macro-F1,0.7242424242424244,0.6174990321331785,0.10674339210924588,-0.05788682218170288,0.25585802279290093
0,affective_task,interview,Macro-F1,0.6006144393241168,0.6312056737588652,-0.030591234434748316,-0.16208065581579406,0.057596822736800425
1,affective_task,interview,Macro-F1,0.6006144393241168,0.6312056737588652,-0.030591234434748316,-0.14947144094669446,0.09890037393162401
2,affective_task,interview,Macro-F1,0.6006144393241168,0.6312056737588652,-0.030591234434748316,-0.13462810416861473,0.09582526446860531
3,affective_task,interview,Macro-F1,0.6006144393241168,0.6312056737588652,-0.030591234434748316,-0.14762178711051474,0.08678325969888194
4,affective_task,interview,Macro-F1,0.6006144393241168,0.6312056737588652,-0.030591234434748316,-0.1341991436591693,0.10173432150021866
0,picture_description,interview,Macro-F1,0.6006144393241168,0.4871794871794871,0.11343495214462973,-0.06769817646040922,0.2707222102544326
1,picture_description,interview,Macro-F1,0.6006144393241168,0.4871794871794871,0.11343495214462973,-0.07354592276793409,0.29102032920941695
2,picture_description,interview,Macro-F1,0.6006144393241168,0.4871794871794871,0.11343495214462973,-0.07776643271321382,0.2978543150684215
3,picture_description,interview,Macro-F1,0.6006144393241168,0.4871794871794871,0.11343495214462973,-0.025839995418806296,0.3111309509759809
4,picture_description,interview,Macro-F1,0.6006144393241168,0.4871794871794871,0.11343495214462973,-0.052627608122847606,0.28340635210978615
0,reading,interview,Macro-F1,0.6006144393241168,0.5495291902071563,0.05108524911696055,-0.11739222783838969,0.20122129067676855
1,reading,interview,Macro-F1,0.6006144393241168,0.5495291902071563,0.05108524911696055,-0.08594194132551163,0.18675248642213993
2,reading,interview,Macro-F1,0.6006144393241168,0.5495291902071563,0.05108524911696055,-0.07043310673314478,0.19532667974343618
3,reading,interview,Macro-F1,0.6006144393241168,0.5495291902071563,0.05108524911696055,-0.11119842674131956,0.17592833998413807
