run_id,dataset,modality,task,model,seed,protocol_type,train_task,eval_task,task_type,metric,value,ci95_low,ci95_high,sample_count
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.390625,0.634754565634144,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.4093333333333334,0.6459374999999999,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,AUROC,0.5967016491754122,0.425015625,0.7681184495329233,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,AUPRC,0.5739378260067136,0.401506381339674,0.77402009634455,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,ECE,0.35052983922838965,0.23405894914865924,0.4711898247026112,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,reading,binary_classification,Brier Score,0.3355647224740741,0.2255260966811608,0.4398245936307772,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.390625,0.634754565634144,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.4093333333333334,0.6459374999999999,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,AUROC,0.5967016491754122,0.425015625,0.7681184495329233,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,AUPRC,0.5739378260067136,0.401506381339674,0.77402009634455,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,ECE,0.35052983922838965,0.23405894914865924,0.4711898247026112,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,reading,binary_classification,Brier Score,0.3355647224740741,0.2255260966811608,0.4398245936307772,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,Macro-F1,0.5207373271889401,0.390625,0.634754565634144,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.4093333333333334,0.6459374999999999,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,AUROC,0.5967016491754122,0.425015625,0.7681184495329233,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,AUPRC,0.5739378260067136,0.401506381339674,0.77402009634455,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,ECE,0.35052983922838965,0.23405894914865924,0.4711898247026112,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,reading,binary_classification,Brier Score,0.3355647224740741,0.2255260966811608,0.4398245936307772,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,Macro-F1,0.557528671846097,0.44044526901669756,0.6882139287499107,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,Balanced Accuracy,0.5674662668665668,0.45544238249538826,0.7054911269855269,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,AUROC,0.6191904047976012,0.4848917378917379,0.7703764784274529,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,AUPRC,0.563724422285724,0.4092622029215511,0.7397826269730866,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,ECE,0.3954536321370681,0.2775054944952444,0.48838911926986395,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,interview,affective_task,binary_classification,Brier Score,0.34774365157515585,0.24099196818002244,0.4393009732743028,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,Macro-F1,0.557528671846097,0.44044526901669756,0.6882139287499107,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,Balanced Accuracy,0.5674662668665668,0.45544238249538826,0.7054911269855269,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,AUROC,0.6191904047976012,0.4848917378917379,0.7703764784274529,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,AUPRC,0.563724422285724,0.4092622029215511,0.7397826269730866,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,ECE,0.3954536321370681,0.2775054944952444,0.48838911926986395,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,interview,affective_task,binary_classification,Brier Score,0.34774365157515585,0.24099196818002244,0.4393009732743028,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,interview,affective_task,binary_classification,Macro-F1,0.557528671846097,0.44044526901669756,0.6882139287499107,52
